NODE_ID,NODE_NAME,NODE_TYPE,LAT,LON,REGION,CAPACITY_MW,VOLTAGE_KV,INSTALL_YEAR,CRITICALITY_SCORE,COMMENT
SUB_PER_01,Permian Basin Transmission Hub #1,TRANSMISSION_HUB,31.4113,-102.1584,Permian Basin,385,69,2013,0.45,TRANSMISSION_HUB in Permian Basin region
SUB_PER_02,Permian Basin Generator #2,GENERATOR,32.0407,-102.3546,Permian Basin,165,69,1975,0.65,GENERATOR in Permian Basin region
SUB_PER_03,Permian Basin Substation #3,SUBSTATION,31.5186,-102.3946,Permian Basin,507,500,1996,0.32,SUBSTATION in Permian Basin region
SUB_PER_04,Permian Basin Substation #4,SUBSTATION,31.5204,-102.3107,Permian Basin,113,138,2014,0.79,SUBSTATION in Permian Basin region
SUB_PER_05,Permian Basin Load Center #5,LOAD_CENTER,31.7226,-102.6221,Permian Basin,1663,230,1976,0.43,LOAD_CENTER in Permian Basin region
SUB_PER_06,Permian Basin Load Center #6,LOAD_CENTER,31.3927,-102.8033,Permian Basin,1336,230,1972,0.81,LOAD_CENTER in Permian Basin region
SUB_PERMIAN_07,Permian Basin Substation #7,LOAD_CENTER,32.0297,-102.3638,Permian Basin,1988,345,1975,0.95,LOAD_CENTER in Permian Basin region
SUB_PER_08,Permian Basin Load Center #8,LOAD_CENTER,31.852,-102.0706,Permian Basin,1864,230,2006,0.67,LOAD_CENTER in Permian Basin region
SUB_GUL_09,Gulf Coast Transmission Hub #1,TRANSMISSION_HUB,29.7046,-95.4542,Gulf Coast,692,69,1984,0.44,TRANSMISSION_HUB in Gulf Coast region
SUB_GUL_10,Gulf Coast Generator #2,GENERATOR,29.8665,-95.1199,Gulf Coast,1808,230,1980,0.57,GENERATOR in Gulf Coast region
SUB_GUL_11,Gulf Coast Substation #3,SUBSTATION,29.3702,-95.2905,Gulf Coast,1499,69,2008,0.46,SUBSTATION in Gulf Coast region
SUB_GUL_12,Gulf Coast Substation #4,SUBSTATION,29.635,-94.9659,Gulf Coast,1046,345,1987,0.45,SUBSTATION in Gulf Coast region
SUB_GUL_13,Gulf Coast Load Center #5,LOAD_CENTER,29.9895,-94.86,Gulf Coast,1502,230,2019,0.63,LOAD_CENTER in Gulf Coast region
SUB_GUL_14,Gulf Coast Load Center #6,LOAD_CENTER,29.776,-95.271,Gulf Coast,746,345,1987,0.32,LOAD_CENTER in Gulf Coast region
SUB_PAN_15,Panhandle Transmission Hub #1,TRANSMISSION_HUB,34.911,-101.3571,Panhandle,744,138,2011,0.83,TRANSMISSION_HUB in Panhandle region
