TELEMETRY_ID,TIMESTAMP,NODE_ID,SCENARIO_NAME,VOLTAGE_KV,LOAD_MW,FREQUENCY_HZ,TEMPERATURE_F,STATUS,ALERT_CODE
TEL_000001,2021-02-14 00:00:00,SUB_PER_01,BASE_CASE,68.18,242.36,59.988,83.2,ACTIVE,
TEL_000002,2021-02-14 00:00:00,SUB_PER_02,BASE_CASE,67.96,245.81,59.948,75.2,ACTIVE,
TEL_000003,2021-02-14 00:00:00,SUB_PER_03,BASE_CASE,501.02,90.53,60.098,62.3,ACTIVE,
TEL_000004,2021-02-14 00:00:00,SUB_PER_04,BASE_CASE,137.79,256.95,60.0,80.8,ACTIVE,
TEL_000005,2021-02-14 00:00:00,SUB_PER_05,BASE_CASE,230.08,218.77,60.096,80.9,ACTIVE,
TEL_000006,2021-02-14 00:00:00,SUB_PER_06,BASE_CASE,230.47,108.35,60.002,83.0,ACTIVE,
TEL_000007,2021-02-14 00:00:00,SUB_PERMIAN_07,BASE_CASE,350.02,257.76,59.983,79.8,ACTIVE,
TEL_000008,2021-02-14 00:00:00,SUB_PER_08,BASE_CASE,230.07,301.74,59.96,67.1,ACTIVE,
TEL_000009,2021-02-14 00:00:00,SUB_GUL_09,BASE_CASE,70.38,196.33,60.008,63.7,ACTIVE,
TEL_000010,2021-02-14 00:00:00,SUB_GUL_10,BASE_CASE,230.48,137.46,59.964,71.4,ACTIVE,
TEL_000011,2021-02-14 00:00:00,SUB_GUL_11,BASE_CASE,69.55,98.56,60.055,65.8,ACTIVE,
TEL_000012,2021-02-14 00:00:00,SUB_GUL_12,BASE_CASE,348.38,63.41,59.977,80.3,ACTIVE,
TEL_000013,2021-02-14 00:00:00,SUB_GUL_13,BASE_CASE,232.95,236.69,59.907,72.4,ACTIVE,
TEL_000014,2021-02-14 00:00:00,SUB_GUL_14,BASE_CASE,346.24,188.55,59.988,81.9,ACTIVE,
TEL_000015,2021-02-14 00:00:00,SUB_PAN_15,BASE_CASE,137.76,189.56,60.031,70.2,ACTIVE,
TEL_000016,2021-02-14 00:00:00,SUB_PAN_16,BASE_CASE,229.72,96.9,60.039,68.5,ACTIVE,
TEL_000017,2021-02-14 00:00:00,SUB_PAN_17,BASE_CASE,349.85,227.43,59.976,81.5,ACTIVE,
